week_id,display_order,card_id,is_required
week_001,0,card_excursion_garden_week_001,true
week_002,0,card_excursion_garden_week_002,true
week_002,1,card_excursion_garden_week_002_curious,true
week_002,2,card_excursion_garden_week_002_innocent,true
week_003,0,card_excursion_garden_week_003,true
week_003,1,card_excursion_garden_week_003_curious,true
week_003,2,card_excursion_garden_week_003_cautious,true
week_004,0,card_excursion_garden_week_004,true
week_004,1,card_excursion_garden_week_004_clever,true
week_004,2,card_excursion_garden_week_004_innocent,true
week_005,0,card_excursion_garden_week_005,true
week_005,1,card_excursion_garden_week_005_cautious,true
week_005,2,card_excursion_garden_week_005_anxious,true
week_006,0,card_excursion_garden_week_006,true
week_006,1,card_excursion_garden_week_006_clever,true
week_006,2,card_excursion_garden_week_006_defiant,true
week_007,0,card_excursion_garden_week_007,true
week_007,1,card_excursion_garden_week_007_stable,true
week_007,2,card_excursion_garden_week_007_cautious,true
week_008,0,card_excursion_garden_week_008,true
week_008,1,card_excursion_garden_week_008_curious,true
week_008,2,card_excursion_garden_week_008_anxious,true
week_009,0,card_excursion_garden_week_009,true
week_009,1,card_excursion_garden_week_009_stable,true
week_009,2,card_excursion_garden_week_009_cautious,true
week_001,10,card_excursion_basement_week_001,true
week_002,10,card_excursion_basement_week_002,true
week_002,11,card_excursion_basement_week_002_curious,true
week_002,12,card_excursion_basement_week_002_cautious,true
week_003,10,card_excursion_basement_week_003,true
week_003,11,card_excursion_basement_week_003_curious,true
week_003,12,card_excursion_basement_week_003_anxious,true
week_004,10,card_excursion_basement_week_004,true
week_004,11,card_excursion_basement_week_004_innocent,true
week_004,12,card_excursion_basement_week_004_cautious,true
week_005,10,card_excursion_basement_week_005,true
week_005,11,card_excursion_basement_week_005_curious,true
week_005,12,card_excursion_basement_week_005_anxious,true
week_006,10,card_excursion_basement_week_006,true
week_006,11,card_excursion_basement_week_006_innocent,true
week_006,12,card_excursion_basement_week_006_clever,true
week_007,10,card_excursion_basement_week_007,true
week_007,11,card_excursion_basement_week_007_cautious,true
week_007,12,card_excursion_basement_week_007_anxious,true
week_008,10,card_excursion_basement_week_008,true
week_008,11,card_excursion_basement_week_008_innocent,true
week_008,12,card_excursion_basement_week_008_cautious,true
week_009,10,card_excursion_basement_week_009,true
week_009,11,card_excursion_basement_week_009_stable,true
week_009,12,card_excursion_basement_week_009_anxious,true
week_001,20,card_excursion_forest_week_001,true
week_002,20,card_excursion_forest_week_002,true
week_002,21,card_excursion_forest_week_002_curious,true
week_002,22,card_excursion_forest_week_002_compliant,true
week_003,20,card_excursion_forest_week_003,true
week_003,21,card_excursion_forest_week_003_clever,true
week_003,22,card_excursion_forest_week_003_curious,true
week_004,20,card_excursion_forest_week_004,true
week_004,21,card_excursion_forest_week_004_clever,true
week_004,22,card_excursion_forest_week_004_anxious,true
week_005,20,card_excursion_forest_week_005,true
week_005,21,card_excursion_forest_week_005,true
week_005,22,card_excursion_forest_week_005,true
week_006,20,card_excursion_forest_week_006,true
week_006,21,card_excursion_forest_week_006_clever,true
week_006,22,card_excursion_forest_week_006_defiant,true
week_007,20,card_excursion_forest_week_007,true
week_007,21,card_excursion_forest_week_007_clever,true
week_007,22,card_excursion_forest_week_007_curious,true
week_008,20,card_excursion_forest_week_008,true
week_008,21,card_excursion_forest_week_008_clever,true
week_008,22,card_excursion_forest_week_008_anxious,true
week_009,20,card_excursion_forest_week_009,true
week_009,21,card_excursion_forest_week_009_clever,true
week_009,22,card_excursion_forest_week_009_innocent,true
week_001,30,card_excursion_library_week_001,true
week_002,30,card_excursion_library_week_002,true
week_002,31,card_excursion_library_week_002_curious,true
week_002,32,card_excursion_library_week_002_anxious,true
week_003,30,card_excursion_library_week_003,true
week_003,31,card_excursion_library_week_003_cautious,true
week_003,32,card_excursion_library_week_003_innocent,true
week_004,30,card_excursion_library_week_004,true
week_004,31,card_excursion_library_week_004_clever,true
week_004,32,card_excursion_library_week_004_curious,true
week_005,30,card_excursion_library_week_005,true
week_005,31,card_excursion_library_week_005_clever,true
week_005,32,card_excursion_library_week_005_innocent,true
week_006,30,card_excursion_library_week_006,true
week_006,31,card_excursion_library_week_006_clever,true
week_006,32,card_excursion_library_week_006_cautious,true
week_007,30,card_excursion_library_week_007,true
week_007,31,card_excursion_library_week_007_clever,true
week_007,32,card_excursion_library_week_007_anxious,true
week_008,30,card_excursion_library_week_008,true
week_008,31,card_excursion_library_week_008_curious,true
week_008,32,card_excursion_library_week_008_anxious,true
week_009,30,card_excursion_library_week_009,true
week_009,31,card_excursion_library_week_009_stable,true
week_009,32,card_excursion_library_week_009_anxious,true
week_001,40,card_rian_week_001,true
week_002,40,card_rian_week_002,true
week_003,40,card_rian_week_003,true
week_004,40,card_rian_week_004,true
week_005,40,card_rian_week_005,true
week_006,40,card_rian_week_006,true
week_007,40,card_rian_week_007,true
week_008,40,card_rian_week_008,true
week_009,40,card_rian_week_009,true
week_001,50,card_max_week_001,true
week_002,50,card_max_week_002,true
week_003,50,card_max_week_003,true
week_004,50,card_max_week_004,true
week_005,50,card_max_week_005,true
week_006,50,card_max_week_006,true
week_007,50,card_max_week_007,true
week_008,50,card_max_week_008,true
week_009,50,card_max_week_009,true
week_001,60,card_millia_week_001,true
week_002,60,card_millia_week_002,true
week_003,60,card_millia_week_003,true
week_004,60,card_millia_week_004,true
week_005,60,card_millia_week_005,true
week_006,60,card_millia_week_006,true
week_007,60,card_millia_week_007,true
week_008,60,card_millia_week_008,true
week_009,60,card_millia_week_009,true
week_001,70,card_yuffie_week_001,true
week_002,70,card_yuffie_week_002,true
week_003,70,card_yuffie_week_003,true
week_004,70,card_yuffie_week_004,true
week_005,70,card_yuffie_week_005,true
week_006,70,card_yuffie_week_006,true
week_007,70,card_yuffie_week_007,true
week_008,70,card_yuffie_week_008,true
week_009,70,card_yuffie_week_009,true
